p sp 100 4946
a 1 3 119
a 1 4 941
a 1 7 871
a 1 8 213
a 1 9 672
a 1 11 943
a 1 14 102
a 1 15 994
a 1 17 183
a 1 20 944
a 1 21 312
a 1 22 200
a 1 25 612
a 1 26 337
a 1 30 130
a 1 31 431
a 1 32 491
a 1 34 171
a 1 39 241
a 1 40 770
a 1 43 311
a 1 44 551
a 1 51 551
a 1 52 232
a 1 53 159
a 1 55 815
a 1 56 759
a 1 58 105
a 1 59 657
a 1 61 630
a 1 62 934
a 1 63 72
a 1 68 829
a 1 70 347
a 1 71 504
a 1 72 231
a 1 77 372
a 1 78 726
a 1 80 155
a 1 81 782
a 1 83 382
a 1 84 643
a 1 85 990
a 1 87 862
a 1 88 200
a 1 94 661
a 1 100 556
a 2 1 273
a 2 7 17
a 2 8 680
a 2 9 259
a 2 12 606
a 2 13 113
a 2 16 189
a 2 17 932
a 2 19 643
a 2 20 511
a 2 21 197
a 2 22 94
a 2 30 424
a 2 31 679
a 2 32 538
a 2 33 588
a 2 36 428
a 2 38 144
a 2 39 227
a 2 41 422
a 2 42 801
a 2 43 898
a 2 44 870
a 2 48 266
a 2 52 181
a 2 53 217
a 2 61 122
a 2 62 684
a 2 63 108
a 2 64 744
a 2 70 929
a 2 71 834
a 2 72 43
a 2 73 384
a 2 74 608
a 2 75 189
a 2 79 941
a 2 80 76
a 2 81 834
a 2 82 843
a 2 85 617
a 2 88 142
a 2 91 391
a 2 95 856
a 2 96 101
a 2 97 963
a 2 99 189
a 3 1 308
a 3 2 226
a 3 6 170
a 3 7 724
a 3 10 939
a 3 11 719
a 3 12 656
a 3 14 617
a 3 15 826
a 3 16 229
a 3 19 316
a 3 20 414
a 3 24 44
a 3 25 324
a 3 28 690
a 3 31 597
a 3 33 574
a 3 34 121
a 3 36 405
a 3 37 173
a 3 38 786
a 3 39 159
a 3 42 341
a 3 46 350
a 3 47 664
a 3 49 508
a 3 50 820
a 3 52 384
a 3 53 641
a 3 55 467
a 3 56 235
a 3 57 250
a 3 59 806
a 3 60 23
a 3 61 331
a 3 63 215
a 3 66 552
a 3 72 746
a 3 73 552
a 3 74 338
a 3 75 338
a 3 76 738
a 3 78 452
a 3 79 446
a 3 80 583
a 3 91 440
a 3 94 710
a 3 95 518
a 3 98 83
a 3 100 837
a 4 2 558
a 4 6 780
