p sp 100 4989
a 1 4 520
a 1 5 790
a 1 9 461
a 1 10 821
a 1 14 284
a 1 15 12
a 1 17 895
a 1 19 849
a 1 20 676
a 1 21 781
a 1 23 357
a 1 25 804
a 1 26 320
a 1 27 11
a 1 28 975
a 1 29 913
a 1 30 58
a 1 31 810
a 1 32 855
a 1 34 674
a 1 35 219
a 1 38 155
a 1 39 465
a 1 41 930
a 1 43 513
a 1 45 97
a 1 46 127
a 1 47 903
a 1 49 980
a 1 52 887
a 1 54 767
a 1 57 653
a 1 59 846
a 1 60 481
a 1 63 503
a 1 65 203
a 1 70 9
a 1 71 623
a 1 72 626
a 1 75 488
a 1 76 702
a 1 77 262
a 1 79 300
a 1 81 456
a 1 85 251
a 1 86 872
a 1 88 503
a 1 92 245
a 1 96 961
a 1 98 579
a 1 99 199
a 2 1 332
a 2 3 204
a 2 9 653
a 2 10 929
a 2 11 586
a 2 13 452
a 2 18 928
a 2 19 417
a 2 20 826
a 2 24 208
a 2 25 932
a 2 26 659
a 2 27 600
a 2 28 161
a 2 32 986
a 2 33 982
a 2 35 773
a 2 36 196
a 2 37 802
a 2 38 556
a 2 41 134
a 2 42 975
a 2 43 790
a 2 45 276
a 2 47 690
a 2 48 955
a 2 50 679
a 2 51 825
a 2 54 531
a 2 55 673
a 2 56 823
a 2 58 864
a 2 60 203
a 2 62 3
a 2 63 202
a 2 64 949
a 2 65 154
a 2 66 835
a 2 69 570
a 2 70 319
a 2 71 577
a 2 72 661
a 2 73 846
a 2 74 292
a 2 76 215
a 2 78 713
a 2 80 991
a 2 82 824
a 2 83 651
a 2 84 980
a 2 86 911
a 2 87 553
a 2 88 718
a 2 90 334
a 2 91 231
a 2 92 56
a 2 93 814
a 2 96 940
a 2 100 349
a 3 1 82
a 3 4 118
a 3 5 187
a 3 6 873
a 3 8 499
a 3 11 143
a 3 12 772
a 3 14 625
a 3 18 653
a 3 28 736
a 3 29 929
a 3 42 811
a 3 43 840
a 3 49 39
a 3 51 766
a 3 53 802
a 3 54 757
a 3 55 953
a 3 56 326
a 3 57 293
a 3 58 363
a 3 60 561
a 3 62 887
a 3 65 422
a 3 69 470
a 3 70 472
a 3 75 134
a 3 76 768
a 3 77 336
a 3 79 661
a 3 81 761
a 3 82 884
a 3 83 711
a 3 87 783
a 3 89 463
a 3 90 324
a 3 93 705
a 3 98 176
a 3 99 877
a 4 2 123
a 4 3 503
a 4 5 659
a 4 7 531
a 4 8 290
a 4 9 114
a 4 10 882
a 4 13 820
a 4 15 489
a 4 16 131
a 4 17 229
a 4 19 114
a 4 21 128
a 4 23 427
a 4 27 775
a 4 28 938
a 4 29 570
a 4 30 825
a 4 32 761
